Name,Time,Place,IC,img
Jabir bin Hayyan,721_815,Kufa_ Iraq,"Father of chemistry; advanced distillation, crystallization, isolated acids",img/slide2.PNG
Muhammad bin Musa al Khwarizmi,780_850,Khwarizm_ Uzbekistan,"Developed algebra, algorithms, and introduced Hindu Arabic numerals",img/slide3.PNG
Ibrahim bin Habib al Fazari,750_800,Iraq,Constructed astrolabes; translated Indian astronomical texts,img/slide4.PNG
Muhammad bin Ibrahim al Fazari,754_775,Iraq,Built first Islamic astrolabe and celestial globes,img/slide5.PNG
Yaqub bin Ishaq alKindi,801_873,Kufa_ Iraq,"Pioneer in cryptography, optics, Medicine;Wrote over 260 books across various sciences.",img/slide6.PNG
Sinan ibn Thabit & Ibrahim ibn Sinan,826_901,Harran_ Mesopotamia,"Mathematics, astronomy, statics;Served as chief physician to three Abbasid caliphs; improved public health systems.",img/slide7.PNG
Abdallah Muhammad bin Jabir al Battani,858_929,Harran_ Syria,"Refined trigonometry and He calculated the solar year as 365 days, 5 hours, 46 minutes, and 24 seconds, which is very close to the modern accepted value. ",img/slide8.PNG
Abu Bakr Muhammad bin Zakariyya al Razi,865_925,Rayy_ Iran,Advanced medicine; differentiated smallpox/measles; early chemistry (sulfuric acid);Worked on refraction of light and wrote about vision and lenses;Introduced ward divisions and case histories in hospitals.,img/slide9.PNG
"Abbas bin Firnas bin Wirdas al Takurini	",810_887,Andalusia (Spain),"first Flight experiment from minar of masjid in cordoba; developed glass and artificial crystals ;Devices based on flowing water or sand helped measure celestial event durations, eclipse timings, and prayer schedules.",img/slide10.PNG
Abu Hanifa Ahmad bin Dawud al Dinawari,828_896,Iran,"Botanist, astronomer, and historian; known for Kitab al Nabat (Book of Plants).",img/slide11.PNG
Abu Nasr Muhammad bin Muhammad al Farabi,872_950,Farab_ Kazakhstan,"Philosophy, logic, political science, music theory",img/slide2.PNG
Abu al Abbas Ahmad bin Muhammad bin Kathir al Farghani,9th century,Uzbekistan,Astronomy; influence on Renaissance scholars Supervised construction of a Nilometer on Rawda Island,img/slide3.PNG
Abu Abdallah Muhammad bin Isa al Mahani,9th century,Iran,"Attempted geometric solutions to cubic equations;He laid foundations for solving algebraic equations using geometry, a method developed centuries later in Europe.",img/slide4.PNG
Abu Bakr Ahmad bin Ali bin Qays al Kasdani (bin Wahshiyya),9th century,Iraq,Cryptography and agriculture,img/slide5.PNG
Abu al Qasim Khalaf bin al Abbas al Zahrawi ,936_1013,Cordoba_ Spain,Invented surgical instruments; wrote Al Tasrif,img/slide6.PNG
Abu Ali al Hasan bin al Hasan bin al Haytham,965_1040,Basra_ Iraq,"Pioneer of optics, camera obscura, scientific method",img/slide7.PNG
